idFilm,labelFilm,labelDirector,labelStarring
482147,Biarkan Bulan Itu,Arifin C. Noer,El Manik
482147,Biarkan Bulan Itu,Arifin C. Noer,HIM Damsyik
482147,Biarkan Bulan Itu,Arifin C. Noer,Rima Melati
482147,Biarkan Bulan Itu,Arifin C. Noer,Marissa Haque
482147,Biarkan Bulan Itu,Arifin C. Noer,Aminah Cendrakasih
482147,Biarkan Bulan Itu,Arifin C. Noer,Ikang Fawzi
482147,Biarkan Bulan Itu,Arifin C. Noer,Ratno Timoer
687303,Salah Asuhan (film),Asrul Sani,Dicky Zulkarnaen
687303,Salah Asuhan (film),Asrul Sani,Fifi Young
687303,Salah Asuhan (film),Asrul Sani,Rima Melati
687303,Salah Asuhan (film),Asrul Sani,Ruth Pelupessy
687303,Salah Asuhan (film),Asrul Sani,Farida Arriany
687303,Salah Asuhan (film),Asrul Sani,Moh Mochtar
44240,Max Havelaar (film),Fons Rademakers,Rima Melati
44240,Max Havelaar (film),Fons Rademakers,Maruli Sitompul
44240,Max Havelaar (film),Fons Rademakers,Sofia WD
44240,Max Havelaar (film),Fons Rademakers,Pietrajaya Burnama
271867,Damai Kami Sepanjang Hari,Sophan Sophiaan,Iwan Fals
271867,Damai Kami Sepanjang Hari,Sophan Sophiaan,Sophan Sophiaan
271867,Damai Kami Sepanjang Hari,Sophan Sophiaan,Rima Melati
271867,Damai Kami Sepanjang Hari,Sophan Sophiaan,Nunu Datau
271867,Damai Kami Sepanjang Hari,Sophan Sophiaan,Ade Irawan
271867,Damai Kami Sepanjang Hari,Sophan Sophiaan,Piet Pagau
271867,Damai Kami Sepanjang Hari,Sophan Sophiaan,Boy Tirayoh
271867,Damai Kami Sepanjang Hari,Sophan Sophiaan,Usbanda
403834,Ayu dan Ayu,Sophan Sophiaan,Dewi Yull
403834,Ayu dan Ayu,Sophan Sophiaan,Rima Melati
403834,Ayu dan Ayu,Sophan Sophiaan,Anwar Fuady
403834,Ayu dan Ayu,Sophan Sophiaan,Abdi Wiyono
403834,Ayu dan Ayu,Sophan Sophiaan,Dwi Yan
403834,Ayu dan Ayu,Sophan Sophiaan,Vivi Samodro
403834,Ayu dan Ayu,Sophan Sophiaan,Nizar Zulmi
425091,Jangan Ambil Nyawaku,Sophan Sophiaan,Frans Tumbuan
425091,Jangan Ambil Nyawaku,Sophan Sophiaan,Norbertus Riantiarno
425091,Jangan Ambil Nyawaku,Sophan Sophiaan,Widyawati
425091,Jangan Ambil Nyawaku,Sophan Sophiaan,Rima Melati
425091,Jangan Ambil Nyawaku,Sophan Sophiaan,Ida Leman
425091,Jangan Ambil Nyawaku,Sophan Sophiaan,Ria Irawan
425091,Jangan Ambil Nyawaku,Sophan Sophiaan,Ratna Riantiarno
425091,Jangan Ambil Nyawaku,Sophan Sophiaan,Lenny Marlina
425091,Jangan Ambil Nyawaku,Sophan Sophiaan,Nunu Datau
425091,Jangan Ambil Nyawaku,Sophan Sophiaan,Rahayu Effendi
425091,Jangan Ambil Nyawaku,Sophan Sophiaan,Ade Irawan
425091,Jangan Ambil Nyawaku,Sophan Sophiaan,Zainal Abidin (aktor)
425091,Jangan Ambil Nyawaku,Sophan Sophiaan,Hanna Wijaya
425091,Jangan Ambil Nyawaku,Sophan Sophiaan,Titi Qadarsih
425091,Jangan Ambil Nyawaku,Sophan Sophiaan,Asrul Zulmi
425091,Jangan Ambil Nyawaku,Sophan Sophiaan,Menzano
468571,Buah Hati Mama,Sophan Sophiaan,Sophan Sophiaan
468571,Buah Hati Mama,Sophan Sophiaan,Widyawati
468571,Buah Hati Mama,Sophan Sophiaan,Ryan Hidayat
468571,Buah Hati Mama,Sophan Sophiaan,Ade Irawan
468571,Buah Hati Mama,Sophan Sophiaan,Puput Novel
468571,Buah Hati Mama,Sophan Sophiaan,Usbanda
468571,Buah Hati Mama,Sophan Sophiaan,Dolly
243924,Cinta Pertama (film 1973),Teguh Karya,Christine Hakim
243924,Cinta Pertama (film 1973),Teguh Karya,Slamet Rahardjo
243924,Cinta Pertama (film 1973),Teguh Karya,Nani Widjaja
243924,Cinta Pertama (film 1973),Teguh Karya,Ully Artha
243924,Cinta Pertama (film 1973),Teguh Karya,Robby Sugara
243924,Cinta Pertama (film 1973),Teguh Karya,Henky Solaiman
243924,Cinta Pertama (film 1973),Teguh Karya,Aedy Moward
243924,Cinta Pertama (film 1973),Teguh Karya,Alam Surawidjaja
243924,Cinta Pertama (film 1973),Teguh Karya,Sari Narulita
243924,Cinta Pertama (film 1973),Teguh Karya,Soultan Saladin
243924,Cinta Pertama (film 1973),Teguh Karya,N. Riantiarno
82704,Di Balik Kelambu,Teguh Karya,Christine Hakim
82704,Di Balik Kelambu,Teguh Karya,Slamet Rahardjo
82704,Di Balik Kelambu,Teguh Karya,Rima Melati
82704,Di Balik Kelambu,Teguh Karya,Maruli Sitompul
82704,Di Balik Kelambu,Teguh Karya,Nungki Kusumastuti
82704,Di Balik Kelambu,Teguh Karya,Agus Melasz
465797,Tali Merah Perkawinan,Teguh Karya,Tuti Indra Malaon
465797,Tali Merah Perkawinan,Teguh Karya,Rima Melati
465797,Tali Merah Perkawinan,Teguh Karya,Ryan Hidayat
465797,Tali Merah Perkawinan,Teguh Karya,Nunu Datau
465797,Tali Merah Perkawinan,Teguh Karya,Yessy Gusman
465797,Tali Merah Perkawinan,Teguh Karya,Rachmat Hidayat
82813,30 Hari Mencari Cinta,Upi Avianto,Nirina Zubir
82813,30 Hari Mencari Cinta,Upi Avianto,Dinna Olivia
82813,30 Hari Mencari Cinta,Upi Avianto,Revaldo
82813,30 Hari Mencari Cinta,Upi Avianto,Maria Agnes
494214,Big Village,Usmar Ismail,Dicky Zulkarnaen
494214,Big Village,Usmar Ismail,Rosihan Anwar
494214,Big Village,Usmar Ismail,Mieke Wijaya
494214,Big Village,Usmar Ismail,Rima Melati
494214,Big Village,Usmar Ismail,Alice Iskak
494214,Big Village,Usmar Ismail,Rachmat Kartolo
494214,Big Village,Usmar Ismail,Rachmat Hidayat
494214,Big Village,Usmar Ismail,Ferry Irawan
494214,Big Village,Usmar Ismail,Menzano
494214,Big Village,Usmar Ismail,Sukarno M. Noor
494216,Dosa Tak Berampun,Usmar Ismail,Laksmi
494216,Dosa Tak Berampun,Usmar Ismail,A.N. Alcaff
494219,Liburan Seniman,Usmar Ismail,Mieke Wijaya
494219,Liburan Seniman,Usmar Ismail,Rachmat Hidayat
494219,Liburan Seniman,Usmar Ismail,Aedy Moward
494219,Liburan Seniman,Usmar Ismail,Mila Karmila
494219,Liburan Seniman,Usmar Ismail,Sandy Suwardi Hassan
